source,source_name,target,target_name,cost,name,source_location_type_id,target_location_type,,
64,Vị Xuyên,55,Hà Giang,23,QL 2,Thị Trấn,TP,1,2
55,Hà Giang,65,Quản Bạ ,45,QL 4C,TP,Huyện,5,1
183,Quản Bạ,66,Yên Minh ,50,QL 4C,Huyện,Thị Trấn,2,5
184,Yên Minh,67,Phó Bảng,20,QL 4C,Thị Trấn,Thị Trấn,2,2
184,Yên Minh,68,Đồng Văn,45,QL 4C,Thị Trấn,Thị Trấn,2,2
68,Đồng Văn,69,Lũng Cú,26,CC QG,Thị Trấn,Điểm Cực Bắc,9,2
68,Đồng Văn,70,Mèo Vạc,25,QL 4C,Thị Trấn,Thị Trấn,2,2
70,Mèo Vạc,71,Xín Cái + CK Săm Pun,18,193A,Thị Trấn,Xã,8,2
70,Mèo Vạc,72,Khâu Vai,22,ĐT 217,Thị Trấn,Xã,8,2
72,Khâu Vai,73,Cốc Pàng,16,ĐT 217,Xã,Xã,8,8
73,Cốc Pàng,74,Bảo Lạc,26,ĐT 217,Xã,Thị Trấn,2,8
55,Hà Giang,75,Minh Ngọc,32,QL 34,TP,Xã,8,1
75,Minh Ngọc,76,Du Già,37,ĐT 176,Xã,Xã,8,8
186,Du Già ,77,Mậu Duệ,40,ĐT 176,Xã,Xã,8,8
77,Mậu Duệ,66,Yên Minh ,10,ĐT 182,Xã,Thị Trấn,2,8
77,Mậu Duệ,78,Lũng Phìn,22,ĐT 176,Xã,Xã,8,8
78,Lũng Phìn,70,Mèo Vạc,15,ĐT 182,Xã,Thị Trấn,2,8
75,Minh Ngọc,79,Bắc Mê,25,QL 34,Xã,Chưa xác định,6,8
79,Bắc Mê,80,Bảo Lâm,36,QL 34,Chưa xác định,Chưa xác định,6,6
80,Bảo Lâm,74,Bảo Lạc,22,QL 34,Chưa xác định,Thị Trấn,2,6
79,Bắc Mê,81,Đà Vị,50,ĐT 176,Chưa xác định,Xã,8,6
80,Bảo Lâm,70,Mèo Vạc,50,QL 4C,Chưa xác định,Thị Trấn,2,6
74,Bảo Lạc,82,Tĩnh Túc,75,QL 34,Thị Trấn,Thị Trấn,2,2
82,Tĩnh Túc,83,Nguyên Bình,15,QL 34,Thị Trấn,Thị Trấn,2,2
83,Nguyên Bình,84,Cao Bằng,45,QL 34,Thị Trấn,TP,1,2
62,Việt Quang,85,Na Hang,85,QL 279,Thị Trấn,Thị Trấn,2,2
85,Na Hang,81,Đà Vị,23,QL 279,Thị Trấn,Xã,8,2
81,Đà Vị,86,Chợ Rã,32,QL 279,Xã,Thị Trấn,2,8
86,Chợ Rã,87,Hà Hiệu,22,QL 279,Thị Trấn,Xã,8,2
87,Hà Hiệu,82,Tĩnh Túc,53,ĐT 212,Xã,Thị Trấn,2,8
87,Hà Hiệu,88,Nà Phặc,10,QL 279,Thị Trấn,Thị Trấn,2,2
88,Nà Phặc,89,Ngân Sơn,18,QL 3,Thị Trấn,Thị Trấn,2,2
89,Ngân Sơn,84,Cao Bằng,65,QL 3,Thị Trấn,TP,1,2
88,Nà Phặc,90,Na Rì,75,QL 279,Thị Trấn,Huyện,5,2
90,Na Rì,91,Bình Gia,70,QL 279,Huyện,Thị Trấn,2,5
91,Bình Gia,92,Văn Quan,29,QL 279,Thị Trấn,Thị Trấn,2,2
92,Văn Quan,93,Chi Lăng,29,QL 279,Thị Trấn,Huyện,5,2
93,Chi Lăng,94,An Châu,70,QL 279,Huyện,Xã,8,5
94,An Châu,95,Hạ Long,68,QL 279,Xã,TP,1,8
187,Cao Bằng ,96,Đôn Chương,47,ĐT 203,TP,Ngã Ba,10,1
96,Đôn Chương,97,Pác Bó,9,ĐT 203,Ngã Ba,Di tích,11,10
96,Đôn Chương,98,CK. Sóc Giang,8,,Ngã Ba,Cửa Khẩu,12,10
96,Đôn Chương,99,Trà Lĩnh,43,ĐT 210,Ngã Ba,Huyện,5,10
99,Trà Lĩnh,100,Trùng Khánh,27,ĐT 210,Huyện,Thị Trấn,2,5
100,Trùng Khánh,101,Thác Bản Giốc,26,ĐT 206,Thị Trấn,Điểm Du Lịch,13,2
101,Thác Bản Giốc,102,Bằng Ca,13,ĐT 206,Điểm Du Lịch,Xã,8,13
102,Bằng Ca,103,Hạ Lang,28,ĐT 206,Xã,Huyện,5,8
103,Hạ Lang,104,Quảng Uyên,33,ĐT 206,Huyện,Thị Trấn,2,5
104,Quảng Uyên,84,Cao Bằng,37,QL 3,Thị Trấn,TP,1,2
104,Quảng Uyên,100,Trùng Khánh,27,ĐT 206,Thị Trấn,Thị Trấn,2,2
104,Quảng Uyên,105,Na Rài,24,QL 3,Thị Trấn,Chưa xác định,6,2
105,Na Rài,106,CK. Tà Lung,11,QL 3,Chưa xác định,Cửa Khẩu,12,6
105,Na Rài,107,Đông Khê,24,ĐT 208,Chưa xác định,Thị Trấn,2,6
