id,source,source_name,target,target_name,cost,name,source_location_type_id,target_location_type,,
144,121,Chí Linh,27,Bắc Ninh,38,QL 18,Thị Xã,TP,1,4
145,121,Chí Linh,122,Nam Sách ,20,QL 37,Thị Xã,Thị Trấn,2,4
146,121,Chí Linh,123,Uông Bí,43,QL 18,Thị Xã,TP,1,4
147,123,Uông Bí,95,Hạ Long,45,QL 18,TP,TP,1,1
148,123,Uông Bí,124,An Lão,35,QL 10,TP,Thị Trấn,2,1
149,188,Nam Sách,125,Tiền Trung,3,QL 37,Thị Trấn,Chưa xác định,6,2
150,125,Tiền Trung,126,Hải Dương,65,QL 5,Chưa xác định,TP,1,6
151,125,Tiền Trung,127,Hải Phòng,40,QL 5,Chưa xác định,TP,1,6
152,127,Hải Phòng,128,Đồ Sơn,20,ĐT 353,TP,Điểm Du Lịch,13,1
153,127,Hải Phòng,124,An Lão,15,ĐT 360,TP,Thị Trấn,2,1
154,124,An Lão,129,Thái Bình (mồ hôi rơi),50,QL 10,Thị Trấn,TP,1,2
155,189,Thái Bình,130,Đồng Châu,30,QL 39B,TP,Điểm Du Lịch,13,1
156,189,Thái Bình,131,Nam Định,23,QL 10,TP,TP,1,1
157,131,Nam Định,132,Thịnh Long,52,???,TP,Điểm Du Lịch,13,1
158,131,Nam Định,25,Phủ Lý,32,QL 21,TP,TP,1,1
159,131,Nam Định,24,Ninh Bình,30,QL 10,TP,TP,1,1
160,59,Đoan Hùng,133,Làng Đát,34,QL 70,Huyện,Chưa xác định,6,5
161,133,Làng Đát,134,Yên Bái,8,QL 37,Chưa xác định,TP,1,6
162,133,Làng Đát,135,Khánh Hòa,64,QL 70,Chưa xác định,Xã,8,6
163,135,Khánh Hòa,136,Lục Yên,25,ĐT 152,Xã,Huyện,5,8
164,136,Lục Yên,61,Vĩnh Tuy,20,ĐT 152,Huyện,Thị Trấn,2,5
165,135,Khánh Hòa,137,Phố Ràng,26,QL 70,Xã,Thị Trấn,2,8
166,137,Phố Ràng,138,Yên Bình,40,QL 279,Thị Trấn,Xã,8,2
167,138,Yên Bình,62,Việt Quang,31,QL 279,Xã,Thị Trấn,2,8
168,137,Phố Ràng,139,Bắc Ngầm,36,QL 70,Thị Trấn,Thôn,14,2
169,139,Bắc Ngầm,140,Lào Cai,40,QL 70,Thôn,TP,1,14
170,139,Bắc Ngầm,141,Bắc Hà,26,ĐT 153,Thôn,Huyện,5,14
171,141,Bắc Hà,78,Lũng Phìn,10,ĐT 153,Huyện,Xã,8,5
172,78,Lũng Phìn,142,Xín Mần,40,???,Xã,Huyện,5,8
173,142,Xín Mần,143,Hoàng Su Phì,40,ĐT 177,Huyện,Huyện,5,5
174,143,Hoàng Su Phì,63,Tân Quang,60,ĐT 177,Huyện,Xã,8,5
175,78,Lũng Phìn,144,Si Ma Cai,18,ĐT 153,Xã,Huyện,5,8
176,144,Si Ma Cai,145,Pha Long,20,ĐT 153,Huyện,Xã,8,5
177,145,Pha Long,146,Mường Khương,25,ĐT 153,Xã,Huyện,5,8
178,146,Mường Khương,140,Lào Cai,53,QL 4D,Huyện,TP,1,5
179,140,Lào Cai,147,Sa Pa ,37,QL 4D,TP,Thị Trấn,2,1
180,147,Sa Pa ,148,Bản Xèo,28,ĐT 155,Thị Trấn,Xã,8,2
181,148,Bản Xèo,149,Y Tý,32,ĐT 158,Xã,Xã,8,8
182,149,Y Tý,150,A Mú Sung,36,ĐT 158,Xã,Xã,8,8
183,150,A Mú Sung,151,Bát Xát,43,ĐT 156,Xã,Huyện,5,8
184,151,Bát Xát,140,Lào Cai,19,ĐT 156,Huyện,TP,1,5
185,147,Sa Pa ,152,Bình Lư,40,QL 4D,Thị Trấn,Xã,8,2
186,152,Bình Lư,153,Tân Uyên,30,QL 32,Xã,Huyện,5,8
187,152,Bình Lư,51,Lai Châu,34,QL 4D,Xã,TP,1,8
188,153,Tân Uyên,154,Than Uyên,30,QL 32,Huyện,Thị Trấn,2,5
189,154,Than Uyên,155,Văn Bàn,58,QL 279,Thị Trấn,Huyện,5,2
190,155,Văn Bàn,137,Phố Ràng,36,QL 279,Huyện,Thị Trấn,2,5
191,154,Than Uyên,156,Quỳnh Nhai,68,QL 279,Thị Trấn,Huyện,5,2
192,156,Quỳnh Nhai,157,Minh Thắng,27,QL 279,Huyện,Xã,8,5
193,156,Quỳnh Nhai,158,Sơn La,58,ĐT 107,Huyện,TP,1,5
194,157,Minh Thắng,159,Tuần Giáo,7,QL 279,Xã,Thị Trấn,2,8
195,157,Minh Thắng,160,Mường Lay,97,QL 6,Xã,Thị Trấn,2,8
196,159,Tuần Giáo,161,Thuận Châu,50,QL 6,Thị Trấn,Thị Trấn,2,2
197,161,Thuận Châu,158,Sơn La,28,QL 6,Thị Trấn,TP,1,2
198,160,Mường Lay,162,Mường Chà,43,QL 12,Thị Trấn,Thị Trấn,2,2
199,160,Mường Lay,163,Sìn Hồ,65,QL 12,Thị Trấn,Huyện,5,2
200,160,Mường Lay,164,Mường Tè,98,ĐT 127,Thị Trấn,Thị Trấn,2,2
201,163,Sìn Hồ,51,Lai Châu,60,QL 4D,Huyện,TP,1,5
202,51,Lai Châu,165,Phong Thổ,30,QL 4D,TP,Thị Trấn,2,1
203,165,Phong Thổ,166,CK. Ma Lù Thàng,20,QL 12,Thị Trấn,Cửa Khẩu,12,2
204,165,Phong Thổ,167,Pa Tần,14,QL 12,Thị Trấn,Xã,8,2
205,167,Pa Tần,166,CK. Ma Lù Thàng,21,???,Xã,Cửa Khẩu,12,8
206,167,Pa Tần,160,Mường Lay,60,QL 12,Xã,Thị Trấn,2,8
207,167,Pa Tần,164,Mường Tè,70,M Tè - Pa Tần,Xã,Thị Trấn,2,8
208,164,Mường Tè,168,Pác Ma,50,???,Thị Trấn,Chưa xác định,6,2
209,168,Pác Ma,169,Chung Chải,70,???,Chưa xác định,Xã,8,6
210,169,Chung Chải,170,A Pa Chải,30,???,Xã,Điểm Cực Tây,15,8
211,169,Chung Chải,171,Mường Nhé,20,???,Xã,Thị Trấn,2,8
212,171,Mường Nhé,172,Chà Cang,80,???,Thị Trấn,Xã,8,2
213,172,Chà Cang,162,Mường Chà,60,???,Xã,Thị Trấn,2,8
214,162,Mường Chà,160,Mường Lay,43,QL 12,Thị Trấn,Thị Trấn,2,2
215,162,Mường Chà,50,Điện Biên Phủ,52,QL 12,Thị Trấn,TP,1,2
216,50,Điện Biên Phủ,159,Tuần Giáo,80,QL 279,TP,Thị Trấn,2,1
217,50,Điện Biên Phủ,173,Mường Phăng,36,???,TP,Di Tích,11,1
218,50,Điện Biên Phủ,174,Điện Biên Đông,48,ĐT 130,TP,Huyện,5,1
219,174,Điện Biên Đông,175,Sông Mã,98,ĐT 130 - ĐT 115,Huyện,Thị Trấn,2,5
220,175,Sông Mã,176,Chiềng Khương,32,QL 4G,Thị Trấn,Xã,8,2
221,176,Chiềng Khương,158,Sơn La,68,QL 4G,Xã,TP,1,8
222,49,Sơn La ,177,Ngã Ba Cò Nòi,45,QL 6,TP,Địa Danh,17,1
223,177,Ngã Ba Cò Nòi,178,Mộc Châu,75,QL 6,Địa Danh,Huyện,5,17
224,178,Mộc Châu,179,Mai Châu,60,QL 6,Huyện,Huyện,5,5
225,179,Mai Châu,180,Tân Lạc,35,QL 6,Huyện,Huyện,5,5
226,180,Tân Lạc,48,Hòa Bình,30,QL 6,Huyện,TP,1,5
227,48,Hòa Bình,181,Xuân Mai,37,QL 6,TP,Thị Trấn,2,1
